cuda:0
Training from scratch
Training dataset loaded: Number of batches: 1563, Number of images: 50000
Steps: 11442/156300 	 loss (ema): 0.062 	 Time elapsed: 0.764 hr
Steps: 11542/156300 	 loss (ema): 0.052 	 Time elapsed: 0.770 hr
Steps: 11642/156300 	 loss (ema): 0.061 	 Time elapsed: 0.777 hr
Steps: 11742/156300 	 loss (ema): 0.056 	 Time elapsed: 0.784 hr
Steps: 11842/156300 	 loss (ema): 0.057 	 Time elapsed: 0.790 hr
Steps: 11942/156300 	 loss (ema): 0.059 	 Time elapsed: 0.797 hr
Steps: 12042/156300 	 loss (ema): 0.052 	 Time elapsed: 0.804 hr
Steps: 12142/156300 	 loss (ema): 0.051 	 Time elapsed: 0.810 hr
Steps: 12242/156300 	 loss (ema): 0.063 	 Time elapsed: 0.817 hr
Steps: 12342/156300 	 loss (ema): 0.057 	 Time elapsed: 0.824 hr
Steps: 12442/156300 	 loss (ema): 0.048 	 Time elapsed: 0.830 hr
Steps: 12505/156300 	 loss (ema): 0.055 	 Time elapsed: 0.835 hr
Steps: 12605/156300 	 loss (ema): 0.056 	 Time elapsed: 0.841 hr
Steps: 12705/156300 	 loss (ema): 0.059 	 Time elapsed: 0.848 hr
Steps: 12805/156300 	 loss (ema): 0.059 	 Time elapsed: 0.855 hr
Steps: 12905/156300 	 loss (ema): 0.059 	 Time elapsed: 0.861 hr
Steps: 13005/156300 	 loss (ema): 0.058 	 Time elapsed: 0.868 hr
Steps: 13105/156300 	 loss (ema): 0.064 	 Time elapsed: 0.875 hr
Steps: 13205/156300 	 loss (ema): 0.047 	 Time elapsed: 0.881 hr
Steps: 13305/156300 	 loss (ema): 0.049 	 Time elapsed: 0.888 hr
Steps: 13405/156300 	 loss (ema): 0.064 	 Time elapsed: 0.895 hr
Steps: 13505/156300 	 loss (ema): 0.057 	 Time elapsed: 0.901 hr
Steps: 13605/156300 	 loss (ema): 0.052 	 Time elapsed: 0.908 hr
Steps: 13705/156300 	 loss (ema): 0.049 	 Time elapsed: 0.915 hr
Steps: 13805/156300 	 loss (ema): 0.054 	 Time elapsed: 0.921 hr
Steps: 13905/156300 	 loss (ema): 0.061 	 Time elapsed: 0.928 hr
Steps: 14005/156300 	 loss (ema): 0.056 	 Time elapsed: 0.935 hr
Steps: 14068/156300 	 loss (ema): 0.052 	 Time elapsed: 0.939 hr
Steps: 14168/156300 	 loss (ema): 0.052 	 Time elapsed: 0.946 hr
